mag_id	user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
FDZ062-RRR14-16(OES00301611)_bin.17	FDZ062-RRR14-16_OES00301611__bin.17	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__DRGT01;s__DRGT01 sp022564515	GCA_022564515.1	95.0	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__DRGT01;s__DRGT01 sp022564515	98.81	0.848	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	94.09	11	N/A	N/A
FDZ062-WuWW6-8(OES00301642)_bin.30	FDZ062-WuWW6-8_OES00301642__bin.30	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__GCA-020350865;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	95.45	11	0.57717	N/A
FDZ069-WuWuWu8-10(OES00301822)_bin.63	FDZ069-WuWuWu8-10_OES00301822__bin.63	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__CSP1-1;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__CSP1-1;s__	taxonomic classification fully defined by topology	N/A	N/A	84.37	11	0.98451	N/A
FDZ070-GBkY4-6(OES00301859)_bin.51	FDZ070-GBkY4-6_OES00301859__bin.51	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__Heimdallarchaeales;f__Kariarchaeaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__Heimdallarchaeales;f__Kariarchaeaceae;g__;s__	taxonomic novelty determined using RED	N/A	N/A	88.83	11	0.87423	N/A
FDZ071-BUG4-6(OES00301939)_bin.11	FDZ071-BUG4-6_OES00301939__bin.11	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__UBA57;g__B1T1B5;s__B1T1B5 sp022572285	GCA_022572285.1	95.0	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__UBA57;g__B1T1B5;s__B1T1B5 sp022572285	99.1	0.816	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	89.95	11	N/A	N/A
FDZ072-GBeBe4-6(OES00302001)_bin.66	FDZ072-GBeBe4-6_OES00302001__bin.66	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosomaritimum;s__Nitrosomaritimum sp022562615	GCA_022562615.1	95.0	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosomaritimum;s__Nitrosomaritimum sp022562615	99.06	0.841	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	86.7	11	N/A	N/A
FDZ072-GRR24-26_26_(OES00302017)_bin.2	FDZ072-GRR24-26_26__OES00302017__bin.2	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__Nitrosopumilus sp022573895	GCA_022573895.1	95.0	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__Nitrosopumilus sp022573895	99.46	0.794	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_022573895.1, s__Nitrosopumilus sp022573895, 95.0, 99.46, 0.794; GCA_950073955.1, s__Nitrosopumilus sp950073955, 95.0, 90.67, 0.716; GCA_013390905.1, s__Nitrosopumilus sp013390905, 95.0, 90.49, 0.702; GCA_022564385.1, s__Nitrosopumilus sp022564385, 95.0, 90.25, 0.561; GCA_001510275.1, s__Nitrosopumilus sp001510275, 95.0, 87.88, 0.558	94.07	11	N/A	N/A
FDZ074-WuYW10-12(OES00302211)_bin.84	FDZ074-WuYW10-12_OES00302211__bin.84	d__Archaea;p__Nanobdellota;c__Nanobdellia;o__Woesearchaeales;f__GW2011-AR4;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Nanobdellota;c__Nanobdellia;o__Woesearchaeales;f__GW2011-AR4;g__;s__	taxonomic novelty determined using RED	N/A	N/A	91.21	11	0.87675	N/A
FDZ076-BkWG18-20(OES00302228)_bin.76	FDZ076-BkWG18-20_OES00302228__bin.76	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__Nitrosopumilus sp950073955	GCA_950073955.1	95.0	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__Nitrosopumilus sp950073955	96.43	0.787	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_950073955.1, s__Nitrosopumilus sp950073955, 95.0, 96.43, 0.787; GCA_013390905.1, s__Nitrosopumilus sp013390905, 95.0, 94.79, 0.763; GCA_965247045.1, s__Nitrosopumilus sp965247045, 95.0, 91.47, 0.664; GCA_022573895.1, s__Nitrosopumilus sp022573895, 95.0, 90.41, 0.641; GCA_965219345.1, s__Nitrosopumilus sp965219345, 95.0, 90.07, 0.599; GCA_022564385.1, s__Nitrosopumilus sp022564385, 95.0, 88.41, 0.52; GCA_963667665.2, s__Nitrosopumilus sp963667665, 95.0, 88.3, 0.515; GCA_013911135.1, s__Nitrosopumilus sp013911135, 95.0, 88.26, 0.509; GCA_001510275.1, s__Nitrosopumilus sp001510275, 95.0, 87.91, 0.52	88.92	11	N/A	N/A
FDZ076-BkWG22-24(OES00302230)_bin.47	FDZ076-BkWG22-24_OES00302230__bin.47	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__GCA-020350865;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	94.53	11	0.57907	N/A
FDZ076-RGWu4-6(OES00302270)_bin.168	FDZ076-RGWu4-6_OES00302270__bin.168	d__Archaea;p__Nanobdellota;c__Nanobdellia;o__Woesearchaeales;f__JAGVZT01;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Nanobdellota;c__Nanobdellia;o__Woesearchaeales;f__JAGVZT01;g__;s__	taxonomic novelty determined using RED	N/A	N/A	88.03	11	0.83767	N/A
FDZ076-RRW20-22(OES00302277)_bin.7	FDZ076-RRW20-22_OES00302277__bin.7	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__Nitrosopumilus sp013390905	GCA_013390905.1	95.0	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__Nitrosopumilus sp013390905	96.63	0.879	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_013390905.1, s__Nitrosopumilus sp013390905, 95.0, 96.63, 0.879; GCA_950073955.1, s__Nitrosopumilus sp950073955, 95.0, 94.71, 0.843; GCA_965247045.1, s__Nitrosopumilus sp965247045, 95.0, 90.71, 0.544; GCA_022573895.1, s__Nitrosopumilus sp022573895, 95.0, 89.99, 0.561; GCA_001510275.1, s__Nitrosopumilus sp001510275, 95.0, 87.37, 0.543	93.93	11	N/A	N/A
FDZ076-WWWu4-6(OES00302308)_bin.74	FDZ076-WWWu4-6_OES00302308__bin.74	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__JAPUIC01;g__JAPUIC01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	88.74	11	0.95832	N/A
FDZ076-YW-A16-18(OES00302314)_bin.31	FDZ076-YW-A16-18_OES00302314__bin.31	d__Archaea;p__Iainarchaeota;c__Iainarchaeia;o__Iainarchaeales;f__GW2011-AR10;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Iainarchaeota;c__Iainarchaeia;o__Iainarchaeales;f__GW2011-AR10;g__;s__	taxonomic novelty determined using RED	N/A	N/A	89.65	11	0.87063	N/A
RS_10(SAMN18200498)_bin.1	RS_10_SAMN18200498__bin.1	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__Bathyarchaeales;f__SOJC01;g__JAGLZJ01;s__JAGLZJ01 sp023131555	GCA_023131555.1	95.0	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__Bathyarchaeales;f__SOJC01;g__JAGLZJ01;s__JAGLZJ01 sp023131555	97.98	0.697	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	89.24	11	N/A	N/A
RS_10(SAMN18200498)_bin.50	RS_10_SAMN18200498__bin.50	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__Heimdallarchaeales;f__Heimdallarchaeaceae;g__UBA460;s__UBA460 sp023270155	GCA_023270155.1	95.0	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__Heimdallarchaeales;f__Heimdallarchaeaceae;g__UBA460;s__UBA460 sp023270155	99.9	0.963	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	97.02	11	N/A	N/A
RS_10(SAMN18200498)_bin.83	RS_10_SAMN18200498__bin.83	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__Heimdallarchaeales;f__Heimdallarchaeaceae;g__UBA460;s__UBA460 sp023139025	GCA_023139025.1	95.0	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__Heimdallarchaeales;f__Heimdallarchaeaceae;g__UBA460;s__UBA460 sp023139025	99.81	0.862	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_023139025.1, s__UBA460 sp023139025, 95.0, 99.81, 0.862; GCA_030608385.1, s__UBA460 sp030608385, 95.0, 94.77, 0.72; GCA_021399345.1, s__UBA460 sp021399345, 95.0, 93.57, 0.659; GCA_030668825.1, s__UBA460 sp023132955, 95.0, 92.61, 0.647; GCA_030607575.1, s__UBA460 sp030607575, 95.0, 91.98, 0.711; GCA_019057375.1, s__UBA460 sp002505645, 95.0, 91.44, 0.631	97.21	11	N/A	N/A
RS_12(SAMN18200500)_bin.42	RS_12_SAMN18200500__bin.42	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__Heimdallarchaeales;f__Heimdallarchaeaceae;g__UBA460;s__UBA460 sp023132955	GCA_030668825.1	95.0	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__Heimdallarchaeales;f__Heimdallarchaeaceae;g__UBA460;s__UBA460 sp023132955	99.49	0.935	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_030668825.1, s__UBA460 sp023132955, 95.0, 99.49, 0.935; GCA_030608385.1, s__UBA460 sp030608385, 95.0, 93.1, 0.721; GCA_023139025.1, s__UBA460 sp023139025, 95.0, 93.05, 0.614; GCA_021399345.1, s__UBA460 sp021399345, 95.0, 92.4, 0.608; GCA_019057375.1, s__UBA460 sp002505645, 95.0, 92.03, 0.621; GCA_030607575.1, s__UBA460 sp030607575, 95.0, 92.01, 0.674	97.21	11	N/A	N/A
RS_12(SAMN18200500)_bin.67	RS_12_SAMN18200500__bin.67	d__Archaea;p__Aenigmatarchaeota;c__Aenigmatarchaeia;o__QMZP01;f__QMZT01;g__JAZGEG01;s__JAZGEG01 sp023128965	GCA_023128965.1	95.0	d__Archaea;p__Aenigmatarchaeota;c__Aenigmatarchaeia;o__QMZP01;f__QMZT01;g__JAZGEG01;s__JAZGEG01 sp023128965	98.99	0.919	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	90.68	11	N/A	N/A
RS_17(SAMN18200505)_bin.41	RS_17_SAMN18200505__bin.41	d__Archaea;p__B1Sed10-29;c__B1Sed10-29;o__WALL01;f__WALL01;g__WALL01;s__WALL01 sp023129115	GCA_023129115.1	95.0	d__Archaea;p__B1Sed10-29;c__B1Sed10-29;o__WALL01;f__WALL01;g__WALL01;s__WALL01 sp023129115	99.96	0.994	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	97.05	11	N/A	N/A
RS_17(SAMN18200505)_bin.61	RS_17_SAMN18200505__bin.61	d__Archaea;p__Micrarchaeota;c__Micrarchaeia;o__Anstonellales;f__Bilamarchaeaceae;g__JAGMCT01;s__JAGMCT01 sp023129075	GCA_023129075.1	95.0	d__Archaea;p__Micrarchaeota;c__Micrarchaeia;o__Anstonellales;f__Bilamarchaeaceae;g__JAGMCT01;s__JAGMCT01 sp023129075	99.95	0.97	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	90.48	11	N/A	N/A
RS_17(SAMN18200505)_bin.64	RS_17_SAMN18200505__bin.64	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__RBG-16-68-12;f__JAGMCJ01;g__JAGMCJ01;s__JAGMCJ01 sp023129265	GCA_023129265.1	95.0	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__RBG-16-68-12;f__JAGMCJ01;g__JAGMCJ01;s__JAGMCJ01 sp023129265	99.77	0.858	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_023129265.1, s__JAGMCJ01 sp023129265, 95.0, 99.77, 0.858; GCA_023136265.1, s__JAGMCJ01 sp023136265, 95.0, 90.75, 0.572; GCA_022848865.1, s__JAGMCJ01 sp022848865, 95.78, 89.34, 0.517	85.67	11	N/A	N/A
RS_5(SAMN18200493)_bin.10	RS_5_SAMN18200493__bin.10	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__RBG-16-68-12;f__SOIM01;g__JAGLME01;s__JAGLME01 sp023140195	GCA_023140195.1	95.0	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__RBG-16-68-12;f__SOIM01;g__JAGLME01;s__JAGLME01 sp023140195	99.99	0.997	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_023140195.1, s__JAGLME01 sp023140195, 95.0, 99.99, 0.997; GCA_030593885.1, s__JAGLME01 sp030593885, 95.0, 92.43, 0.662; GCA_036477085.1, s__JAGLME01 sp036477085, 95.0, 91.91, 0.677; GCA_030593295.1, s__JAGLME01 sp030593295, 95.0, 91.89, 0.662	95.63	11	N/A	N/A
RS_7(SAMN18200495)_bin.80	RS_7_SAMN18200495__bin.80	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__RBG-16-68-12;f__JAGMCJ01;g__JAGMCJ01;s__JAGMCJ01 sp023136265	GCA_023136265.1	95.0	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__RBG-16-68-12;f__JAGMCJ01;g__JAGMCJ01;s__JAGMCJ01 sp023136265	99.88	0.979	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_023136265.1, s__JAGMCJ01 sp023136265, 95.0, 99.88, 0.979; GCA_022848825.1, s__JAGMCJ01 sp022848825, 95.0, 91.98, 0.564; GCA_022848865.1, s__JAGMCJ01 sp022848865, 95.78, 91.51, 0.672; GCA_023129265.1, s__JAGMCJ01 sp023129265, 95.0, 90.39, 0.545; GCA_023130895.1, s__JAGMCJ01 sp023130895, 96.22, 90.23, 0.552	96.52	11	N/A	N/A
RS_8(SAMN18200496)_bin.14	RS_8_SAMN18200496__bin.14	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__SG8-5;f__SG8-5;g__JAGLQM01;s__JAGLQM01 sp023136815	GCA_023136815.1	95.0	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__SG8-5;f__SG8-5;g__JAGLQM01;s__JAGLQM01 sp023136815	99.8	0.833	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	86.88	11	N/A	N/A
RS_8(SAMN18200496)_bin.19	RS_8_SAMN18200496__bin.19	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__SG8-5;f__JAGLSY01;g__JAGLSY01;s__JAGLSY01 sp023137005	GCA_023137005.1	95.0	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__SG8-5;f__JAGLSY01;g__JAGLSY01;s__JAGLSY01 sp023137005	99.83	0.95	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	90.87	11	N/A	N/A
SAMD00080627_bin.25	SAMD00080627_bin.25	d__Archaea;p__Hydrothermarchaeota;c__Hydrothermarchaeia;o__Hydrothermarchaeales;f__BMS3B;g__BMS3B;s__BMS3B sp002897955	GCA_002897955.1	95.0	d__Archaea;p__Hydrothermarchaeota;c__Hydrothermarchaeia;o__Hydrothermarchaeales;f__BMS3B;g__BMS3B;s__BMS3B sp002897955	99.78	0.915	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	86.86	11	N/A	N/A
SAMD00080628_bin.14	SAMD00080628_bin.14	d__Archaea;p__Hydrothermarchaeota;c__Hydrothermarchaeia;o__Hydrothermarchaeales;f__SZUA-236;g__SZUA-236;s__SZUA-236 sp002923215	GCA_002923215.1	95.0	d__Archaea;p__Hydrothermarchaeota;c__Hydrothermarchaeia;o__Hydrothermarchaeales;f__SZUA-236;g__SZUA-236;s__SZUA-236 sp002923215	99.7	0.855	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	86.77	11	N/A	N/A
SAMEA101254168_bin.13	SAMEA101254168_bin.13	d__Archaea;p__Halobacteriota;c__Archaeoglobi;o__Archaeoglobales;f__Archaeoglobaceae;g__Archaeoglobus_B;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Halobacteriota;c__Archaeoglobi;o__Archaeoglobales;f__Archaeoglobaceae;g__Archaeoglobus_B;s__	taxonomic classification fully defined by topology	N/A	N/A	67.93	11	0.91043	N/A
SAMEA101255668_bin.13	SAMEA101255668_bin.13	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Thermoplasmatales;f__Aciduliprofundaceae;g__Aciduliprofundum;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Thermoplasmatales;f__Aciduliprofundaceae;g__Aciduliprofundum;s__	taxonomic classification fully defined by topology	N/A	N/A	86.61	11	0.97538	N/A
SAMEA3143263_bin.4	SAMEA3143263_bin.4	d__Archaea;p__AGJL01;c__Methanococci;o__Methanococcales;f__Methanococcaceae;g__Methanofervidicoccus;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__AGJL01;c__Methanococci;o__Methanococcales;f__Methanococcaceae;g__Methanofervidicoccus;s__	taxonomic classification fully defined by topology	N/A	N/A	94.71	11	0.99051	N/A
SAMEA3143271_bin.55	SAMEA3143271_bin.55	d__Archaea;p__Micrarchaeota;c__Micrarchaeia;o__Anstonellales;f__Bilamarchaeaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Micrarchaeota;c__Micrarchaeia;o__Anstonellales;f__Bilamarchaeaceae;g__;s__	taxonomic classification fully defined by topology	N/A	N/A	87.41	11	0.74792	N/A
SAMEA3143271_bin.64	SAMEA3143271_bin.64	d__Archaea;p__Halobacteriota;c__Archaeoglobi;o__Archaeoglobales;f__Archaeoglobaceae;g__Archaeoglobus_C;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Halobacteriota;c__Archaeoglobi;o__Archaeoglobales;f__Archaeoglobaceae;g__Archaeoglobus_C;s__	taxonomic classification fully defined by topology	N/A	N/A	97.69	11	0.97418	N/A
SAMEA3143271_bin.80	SAMEA3143271_bin.80	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Geothermarchaeales;f__JDFR-13;g__B109-G9;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Geothermarchaeales;f__JDFR-13;g__;s__	taxonomic novelty determined using RED	N/A	N/A	84.82	11	0.90875	N/A
SAMEA3143273_bin.32	SAMEA3143273_bin.32	d__Archaea;p__Halobacteriota;c__Archaeoglobi;o__Archaeoglobales;f__Archaeoglobaceae;g__JdFR-22;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Halobacteriota;c__Archaeoglobi;o__Archaeoglobales;f__Archaeoglobaceae;g__JdFR-22;s__	taxonomic classification fully defined by topology	N/A	N/A	97.85	11	0.90939	N/A
