mag_id	user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
10B(CNS0876619)_bin.42	10B_CNS0876619__bin.42	d__Bacteria;p__Omnitrophota;c__Gorgyraeia;o__JAGLLT01;f__JAGLLT01;g__Kappaea;s__Kappaea sp030632085	GCA_030632085.1	95.0	d__Bacteria;p__Omnitrophota;c__Gorgyraeia;o__JAGLLT01;f__JAGLLT01;g__Kappaea;s__Kappaea sp030632085	96.61	0.794	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	86.17	11	N/A	N/A
10C(CNS0876620)_bin.32	10C_CNS0876620__bin.32	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__GCA-2748055;g__GCA-2748055;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__GCA-2748055;g__GCA-2748055;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	97.86	11	0.98503	N/A
10C(CNS0876620)_bin.43	10C_CNS0876620__bin.43	d__Bacteria;p__Krumholzibacteriota;c__Krumholzibacteriia;o__Krumholzibacteriales;f__Krumholzibacteriaceae;g__JAUWCL01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Krumholzibacteriota;c__Krumholzibacteriia;o__Krumholzibacteriales;f__Krumholzibacteriaceae;g__JAUWCL01;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	91.96	11	0.97071	N/A
10C(CNS0876620)_bin.44	10C_CNS0876620__bin.44	d__Bacteria;p__Zixibacteria;c__MSB-5A5;o__JAABVY01;f__JAHJOQ01;g__DAOVLC01;s__DAOVLC01 sp030631455	GCA_030631455.1	95.0	d__Bacteria;p__Zixibacteria;c__MSB-5A5;o__JAABVY01;f__JAHJOQ01;g__DAOVLC01;s__DAOVLC01 sp030631455	99.13	0.905	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	87.11	11	N/A	N/A
10C(CNS0876620)_bin.45	10C_CNS0876620__bin.45	d__Bacteria;p__Zixibacteria;c__MSB-5A5;o__GN15;f__PGXB01;g__JAAERC01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Zixibacteria;c__MSB-5A5;o__GN15;f__PGXB01;g__JAAERC01;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	92.02	11	0.95896	N/A
10C(CNS0876620)_bin.9	10C_CNS0876620__bin.9	d__Bacteria;p__Zixibacteria;c__MSB-5A5;o__UBA10806;f__4484-95;g__JAGGSN01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Zixibacteria;c__MSB-5A5;o__UBA10806;f__4484-95;g__JAGGSN01;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	82.81	11	0.95996	N/A
10D(CNS0876621)_bin.33	10D_CNS0876621__bin.33	d__Bacteria;p__Fermentibacterota;c__Fermentibacteria;o__Fermentibacterales;f__JCC-6;g__Aegiribacteria;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Fermentibacterota;c__Fermentibacteria;o__Fermentibacterales;f__JCC-6;g__Aegiribacteria;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	79.16	11	0.98086	N/A
10D(CNS0876621)_bin.7	10D_CNS0876621__bin.7	d__Bacteria;p__Oederibacteriota;c__JAAXVQ01;o__JAAXVQ01;f__JAUVAV01;g__JAUVAV01;s__JAUVAV01 sp030591525	GCA_030591525.1	95.0	d__Bacteria;p__Oederibacteriota;c__JAAXVQ01;o__JAAXVQ01;f__JAUVAV01;g__JAUVAV01;s__JAUVAV01 sp030591525	99.94	0.988	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	88.36	11	N/A	N/A
10E(CNS0876622)_bin.14	10E_CNS0876622__bin.14	d__Bacteria;p__4484-113;c__4484-113;o__4484-113;f__JAFGCY01;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__4484-113;c__4484-113;o__4484-113;f__JAFGCY01;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	81.98	11	0.90935	N/A
10E(CNS0876622)_bin.17	10E_CNS0876622__bin.17	d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__UBA2199;f__UBA2199;g__UBA647;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__UBA2199;f__UBA2199;g__UBA647;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	89.3	11	0.99356	N/A
10E(CNS0876622)_bin.3	10E_CNS0876622__bin.3	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Pirellulales;f__Thermoguttaceae;g__JAHIKV01;s__JAHIKV01 sp965195225	GCA_965195225.1	95.0	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Pirellulales;f__Thermoguttaceae;g__JAHIKV01;s__JAHIKV01 sp965195225	95.32	0.699	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_965195225.1, s__JAHIKV01 sp965195225, 95.0, 95.32, 0.699; GCA_030611515.1, s__JAHIKV01 sp030611515, 95.0, 91.97, 0.531; GCA_030612765.1, s__JAHIKV01 sp030612765, 95.0, 91.76, 0.501	85.69	11	N/A	N/A
10E(CNS0876622)_bin.35	10E_CNS0876622__bin.35	d__Bacteria;p__JAJVIF01;c__JAJVIF01;o__JAGGVT01;f__JAGGVT01;g__JAGGVT01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__JAJVIF01;c__JAJVIF01;o__JAGGVT01;f__JAGGVT01;g__JAGGVT01;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	85.51	11	0.97077	N/A
10F(CNS0876623)_bin.20	10F_CNS0876623__bin.20	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Spongiisociales;f__UBA11373;g__JAHJML01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Spongiisociales;f__UBA11373;g__JAHJML01;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	93.29	11	0.97529	N/A
10F(CNS0876623)_bin.36	10F_CNS0876623__bin.36	d__Bacteria;p__Hydrothermota;c__32-111;o__QNBC01;f__QNBC01;g__JAGLYS01;s__JAGLYS01 sp023132105	GCA_023132105.1	95.0	d__Bacteria;p__Hydrothermota;c__32-111;o__QNBC01;f__QNBC01;g__JAGLYS01;s__JAGLYS01 sp023132105	98.49	0.779	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	89.82	11	N/A	N/A
12A(CNS0876624)_bin.9	12A_CNS0876624__bin.9	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rickettsiales;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rickettsiales;f__;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	91.2	11	0.61763	N/A
12B(CNS0876625)_bin.1	12B_CNS0876625__bin.1	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Chromatiales;f__Chromatiaceae;g__JAUXBK01;s__JAUXBK01 sp030619405	GCA_030619405.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Chromatiales;f__Chromatiaceae;g__JAUXBK01;s__JAUXBK01 sp030619405	99.66	0.878	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	76.05	11	N/A	N/A
12E(CNS0876628)_bin.20	12E_CNS0876628__bin.20	d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__UBA2199;f__UBA2199;g__JAUWNT01;s__JAUWNT01 sp030620255	GCA_030620255.1	95.0	d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__UBA2199;f__UBA2199;g__JAUWNT01;s__JAUWNT01 sp030620255	95.19	0.741	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_030620255.1, s__JAUWNT01 sp030620255, 95.0, 95.19, 0.741; GCA_030610885.1, s__JAUWNT01 sp030610885, 95.0, 93.94, 0.671; GCA_030612495.1, s__JAUWNT01 sp030612495, 95.0, 89.7, 0.523	93.75	11	N/A	N/A
12E(CNS0876628)_bin.25	12E_CNS0876628__bin.25	d__Bacteria;p__Zixibacteria;c__MSB-5A5;o__GN15;f__FEB-12;g__JAJRTA01;s__JAJRTA01 sp030612965	GCA_030612965.1	95.0	d__Bacteria;p__Zixibacteria;c__MSB-5A5;o__GN15;f__FEB-12;g__JAJRTA01;s__JAJRTA01 sp030612965	98.72	0.892	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_030612965.1, s__JAJRTA01 sp030612965, 95.0, 98.72, 0.892; GCA_030619425.1, s__JAJRTA01 sp030619425, 95.0, 91.46, 0.585; GCA_030605565.1, s__JAJRTA01 sp030605565, 95.0, 91.39, 0.629; GCA_965371755.1, s__JAJRTA01 sp965371755, 95.0, 90.68, 0.569; GCA_030629485.1, s__JAJRTA01 sp030629485, 95.0, 90.48, 0.504	89.34	11	N/A	N/A
12E(CNS0876628)_bin.38	12E_CNS0876628__bin.38	d__Bacteria;p__Zixibacteria;c__MSB-5A5;o__GN15;f__FEB-12;g__JAUXCD01;s__JAUXCD01 sp030619085	GCA_030619085.1	95.0	d__Bacteria;p__Zixibacteria;c__MSB-5A5;o__GN15;f__FEB-12;g__JAUXCD01;s__JAUXCD01 sp030619085	98.47	0.896	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	84.51	11	N/A	N/A
12F(CNS0876629)_bin.20	12F_CNS0876629__bin.20	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__GIF9;f__AB-539-J10;g__JAGMDB01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__GIF9;f__AB-539-J10;g__JAGMDB01;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	78.34	11	0.98587	N/A
12F(CNS0876629)_bin.28	12F_CNS0876629__bin.28	d__Bacteria;p__Desulfobacterota;c__Deferrisomatia;o__Deferrisomatales;f__BM512;g__JAUVAU01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Desulfobacterota;c__Deferrisomatia;o__Deferrisomatales;f__BM512;g__JAUVAU01;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	74.19	11	0.96915	N/A
12F(CNS0876629)_bin.58	12F_CNS0876629__bin.58	d__Bacteria;p__Fermentibacterota;c__Fermentibacteria;o__Fermentibacterales;f__JCC-6;g__Aegiribacteria;s__Aegiribacteria sp030594645	GCA_030594645.1	95.0	d__Bacteria;p__Fermentibacterota;c__Fermentibacteria;o__Fermentibacterales;f__JCC-6;g__Aegiribacteria;s__Aegiribacteria sp030594645	99.85	0.951	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_030594645.1, s__Aegiribacteria sp030594645, 95.0, 99.85, 0.951; GCA_021108435.1, s__Aegiribacteria sp021108435, 95.0, 89.15, 0.567; GCA_030640155.1, s__Aegiribacteria sp030640155, 95.0, 88.84, 0.51	85.97	11	N/A	N/A
12F(CNS0876629)_bin.6	12F_CNS0876629__bin.6	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Sedimentisphaerales;f__Anaerobacaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Sedimentisphaerales;f__Anaerobacaceae;g__;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	83.93	11	0.89771	N/A
1A(CNS0876630)_bin.6	1A_CNS0876630__bin.6	d__Bacteria;p__Nitrospinota;c__Nitrospinia;o__Nitrospinales;f__Nitrospinaceae;g__SZUA-226;s__SZUA-226 sp030600405	GCA_030600405.1	95.0	d__Bacteria;p__Nitrospinota;c__Nitrospinia;o__Nitrospinales;f__Nitrospinaceae;g__SZUA-226;s__SZUA-226 sp030600405	99.19	0.875	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	82.53	11	N/A	N/A
1B(CNS0876631)_bin.1	1B_CNS0876631__bin.1	d__Bacteria;p__Methylomirabilota;c__Methylomirabilia;o__Methylomirabilales;f__CSP1-5;g__CSP1-5;s__CSP1-5 sp012974305	GCA_012974305.1	95.0	d__Bacteria;p__Methylomirabilota;c__Methylomirabilia;o__Methylomirabilales;f__CSP1-5;g__CSP1-5;s__CSP1-5 sp012974305	98.24	0.883	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	88.74	11	N/A	N/A
1B(CNS0876631)_bin.4	1B_CNS0876631__bin.4	d__Bacteria;p__Desulfobacterota;c__Syntrophobacteria;o__BM002;f__BM002;g__BM002;s__BM002 sp030613915	GCA_030613915.1	95.0	d__Bacteria;p__Desulfobacterota;c__Syntrophobacteria;o__BM002;f__BM002;g__BM002;s__BM002 sp030613915	97.61	0.675	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	85.33	11	N/A	N/A
1B(CNS0876631)_bin.8	1B_CNS0876631__bin.8	d__Bacteria;p__Planctomycetota;c__Brocadiia;o__Brocadiales;f__Bathyanammoxibiaceae;g__Bathyanammoxibius;s__Bathyanammoxibius sp030598065	GCA_030598065.1	95.0	d__Bacteria;p__Planctomycetota;c__Brocadiia;o__Brocadiales;f__Bathyanammoxibiaceae;g__Bathyanammoxibius;s__Bathyanammoxibius sp030598065	98.94	0.858	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	76.71	11	N/A	N/A
1C(CNS0876632)_bin.15	1C_CNS0876632__bin.15	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Ralstonia;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Ralstonia;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	96.83	11	0.99546	N/A
1D(CNS0876633)_bin.19	1D_CNS0876633__bin.19	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus capitis	GCF_040739495.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus capitis	96.43	0.886	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	96.05	11	N/A	N/A
1D(CNS0876633)_bin.21	1D_CNS0876633__bin.21	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__SM23-62;g__SM23-62;s__SM23-62 sp036480555	GCA_036480555.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__SM23-62;g__SM23-62;s__SM23-62 sp036480555	98.99	0.786	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	88.38	11	N/A	N/A
1F(CNS0876635)_bin.13	1F_CNS0876635__bin.13	d__Bacteria;p__UBA10199;c__UBA10199;o__2-02-FULL-44-16;f__JAAZCA01;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__UBA10199;c__UBA10199;o__2-02-FULL-44-16;f__JAAZCA01;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	90.26	11	0.90396	N/A
1F(CNS0876635)_bin.28	1F_CNS0876635__bin.28	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__JAADJA01;g__JAADJA01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__JAADJA01;g__JAADJA01;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	95.93	11	0.96394	N/A
1G(CNS0876636)_bin.13	1G_CNS0876636__bin.13	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__DAOVJZ01;f__DAOVJZ01;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__DAOVJZ01;f__DAOVJZ01;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	84.59	11	0.84012	N/A
1G(CNS0876636)_bin.27	1G_CNS0876636__bin.27	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__UBA1924;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__UBA1924;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	81.48	11	0.87191	N/A
7A(CNS0876637)_bin.5	7A_CNS0876637__bin.5	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__PS1;f__Pseudothioglobaceae;g__Ruthia;s__Ruthia sp030599095	GCA_030599095.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__PS1;f__Pseudothioglobaceae;g__Ruthia;s__Ruthia sp030599095	95.15	0.665	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	97.82	11	N/A	N/A
7B(CNS0876638)_bin.34	7B_CNS0876638__bin.34	d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellia;o__Kiritimatiellales;f__Pontiellaceae;g__Pontiella;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellia;o__Kiritimatiellales;f__Pontiellaceae;g__Pontiella;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	90.08	11	0.98735	N/A
7C(CNS0876639)_bin.10	7C_CNS0876639__bin.10	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Halopseudomonas;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Halopseudomonas;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	92.0	11	0.99109	N/A
7C(CNS0876639)_bin.11	7C_CNS0876639__bin.11	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Spongiibacteraceae;g__Spongiibacter;s__Spongiibacter tropicus	GCF_000420325.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Spongiibacteraceae;g__Spongiibacter;s__Spongiibacter tropicus	98.26	0.91	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	91.26	11	N/A	N/A
7C(CNS0876639)_bin.14	7C_CNS0876639__bin.14	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Alteromonas;s__Alteromonas abrolhosensis	GCF_001953635.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Alteromonas;s__Alteromonas abrolhosensis	98.59	0.957	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	95.71	11	N/A	N/A
7C(CNS0876639)_bin.16	7C_CNS0876639__bin.16	d__Bacteria;p__Desulfobacterota_D;c__UBA1144;o__Nemesobacterales;f__JAZGCJ01;g__JAZGCJ01;s__JAZGCJ01 sp036476895	GCA_036476895.1	95.0	d__Bacteria;p__Desulfobacterota_D;c__UBA1144;o__Nemesobacterales;f__JAZGCJ01;g__JAZGCJ01;s__JAZGCJ01 sp036476895	98.99	0.679	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	93.55	11	N/A	N/A
7C(CNS0876639)_bin.18	7C_CNS0876639__bin.18	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Oleiphilaceae;g__Marinobacter;s__Marinobacter qingdaonensis	GCF_034555935.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Oleiphilaceae;g__Marinobacter;s__Marinobacter qingdaonensis	97.58	0.873	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	86.31	11	N/A	N/A
